iter	Passed	Remaining
263	7519	12418
264	7550	12393
265	7572	12355
266	7604	12331
267	7629	12298
268	7657	12268
269	7704	12270
270	7723	12225
271	7761	12212
272	7796	12195
273	7825	12166
274	7850	12133
275	7883	12110
276	7906	12074
277	7934	12045
278	7959	12010
279	7982	11973
280	8004	11935
281	8029	11902
282	8053	11866
283	8084	11841
284	8110	11810
285	8145	11790
286	8176	11766
287	8211	11746
288	8248	11730
289	8304	11741
290	8341	11724
291	8370	11695
292	8402	11672
293	8433	11646
294	8467	11625
295	8497	11598
296	8530	11575
297	8562	11550
298	8595	11527
299	8626	11501
300	8653	11470
301	8684	11444
302	8713	11416
303	8746	11393
304	8927	11561
305	8961	11538
306	9011	11535
307	9060	11530
308	9106	11523
309	9138	11496
310	9180	11482
311	9216	11461
312	9245	11431
313	9276	11403
314	9311	11380
315	9343	11353
316	9372	11323
317	9409	11303
318	9442	11277
319	9468	11243
320	9497	11213
321	9523	11180
322	9542	11138
323	9571	11108
324	9599	11076
325	9606	11020
326	9636	10991
327	9710	11013
328	9753	10999
329	9783	10969
330	9815	10942
331	9853	10922
332	9882	10891
333	9921	10872
334	9953	10845
335	10014	10848
336	10059	10835
337	10103	10821
338	10149	10808
339	10189	10788
340	10239	10779
341	10269	10750
342	10402	10827
343	10553	10921
344	10611	10919
345	10678	10925
346	10743	10929
347	10809	10933
348	10921	10984
349	11009	11009
350	11060	10997
351	11208	11080
352	11526	11330
353	11570	11309
354	11616	11289
355	11666	11273
356	11703	11244
357	11733	11209
358	11767	11177
359	11806	11150
360	11832	11111
361	11867	11080
362	11899	11046
363	11931	11013
364	11960	10977
365	12003	10953
366	12033	10918
367	12068	10888
368	12097	10851
369	12137	10824
370	12170	10793
371	12202	10759
372	12231	10723
373	12262	10689
374	12295	10655
375	12333	10627
376	12360	10590
377	12394	10557
378	12424	10523
379	12459	10492
380	12498	10464
381	12528	10429
382	12563	10398
383	12603	10371
384	12642	10343
385	12676	10312
386	12712	10281
387	12743	10247
388	12783	10220
389	12818	10188
390	12849	10155
391	12885	10124
392	12917	10090
393	12960	10065
394	12999	10037
395	13034	10006
396	13077	9980
397	13103	9942
398	13140	9912
399	13177	9883
400	13207	9847
401	13240	9815
402	13264	9775
403	13290	9737
404	13316	9699
405	13348	9666
406	13373	9627
407	13404	9593
408	13440	9562
409	13470	9527
410	13500	9492
411	13525	9454
412	13545	9412
413	13575	9377
414	13609	9346
415	13637	9310
416	13677	9282
417	13713	9251
418	13757	9226
419	13804	9202
420	13854	9181
421	13911	9164
422	13965	9145
423	14012	9121
424	14048	9090
425	14094	9065
426	14139	9040
427	14176	9009
428	14196	8968
429	14237	8939
430	14277	8911
431	14311	8878
432	14345	8845
433	14381	8814
434	14417	8783
435	14455	8752
436	14485	8717
437	14529	8690
438	14580	8668
439	14621	8640
440	14662	8611
441	14706	8584
442	14747	8555
443	14780	8521
444	14811	8487
445	14858	8462
446	14892	8429
447	14926	8396
448	14970	8368
449	15026	8348
450	15077	8324
451	15114	8292
452	15148	8259
453	15177	8223
454	15210	8190
455	15244	8157
456	15277	8123
457	15306	8087
458	15324	8046
459	15353	8010
460	15391	7979
461	15425	7946
462	15459	7913
463	15487	7877
464	15504	7835
465	15531	7798
466	15561	7764
467	15596	7731
468	15626	7696
469	15660	7663
470	15673	7620
471	15704	7586
472	15732	7550
473	15764	7516
474	15794	7481
475	15821	7445
476	15853	7411
477	15883	7377
478	15911	7341
479	15950	7310
480	15978	7275
481	16003	7237
482	16036	7204
483	16066	7170
484	16096	7135
485	16128	7101
486	16153	7064
487	16177	7028
488	16199	6989
489	16237	6959
490	16257	6920
491	16286	6885
492	16313	6849
493	16340	6814
494	16371	6780
495	16405	6747
496	16435	6713
497	16464	6678
498	16497	6645
499	16522	6609
500	16552	6574
501	16582	6540
502	16608	6504
503	16631	6467
504	16661	6433
505	16702	6403
506	16723	6365
507	16750	6330
508	16774	6294
509	16808	6262
510	16837	6227
511	16869	6194
512	16901	6161
513	16927	6125
514	16959	6092
515	16986	6057
516	17014	6022
517	17045	5988
518	17081	5957
519	17113	5923
520	17144	5890
521	17170	5855
522	17199	5821
523	17229	5787
524	17259	5753
525	17298	5722
526	17325	5687
527	17344	5650
528	17357	5610
529	17393	5578
530	17427	5546
531	17459	5513
532	17488	5479
533	17524	5447
534	17553	5413
535	17580	5379
536	17611	5345
537	17628	5308
538	17657	5274
539	17687	5240
540	17711	5205
541	17742	5172
542	17768	5137
543	17798	5104
544	17831	5071
545	17863	5038
546	17885	5002
547	17916	4969
548	17950	4937
549	17970	4900
550	18007	4869
551	18039	4836
552	18070	4803
553	18097	4769
554	18131	4737
555	18161	4703
556	18189	4669
557	18219	4636
558	18245	4602
559	18273	4568
560	18298	4533
561	18331	4501
562	18356	4466
563	18375	4431
564	18403	4397
565	18437	4365
566	18462	4330
567	18495	4298
568	18522	4264
569	18557	4232
570	18586	4198
571	18618	4166
572	18643	4132
573	18673	4099
574	18704	4066
575	18737	4033
576	18763	3999
577	18794	3966
578	18827	3934
579	18853	3900
580	18880	3867
581	18911	3834
582	18938	3800
583	18965	3767
584	18987	3732
585	19021	3700
586	19045	3666
587	19073	3633
588	19109	3601
589	19137	3567
590	19170	3535
591	19206	3503
592	19232	3470
593	19256	3436
594	19286	3403
595	19311	3369
596	19336	3336
597	19363	3302
598	19397	3270
599	19424	3237
600	19456	3204
601	19492	3173
602	19518	3139
603	19553	3107
604	19582	3074
605	19621	3043
606	19652	3011
607	19683	2978
608	19712	2945
609	19742	2912
610	19770	2879
611	19800	2847
612	19835	2815
613	19869	2783
614	19897	2750
615	19923	2716
616	19942	2682
617	19971	2650
618	19996	2616
619	20025	2583
620	20056	2551
621	20090	2519
622	20120	2486
623	20162	2455
624	20191	2423
625	20226	2390
626	20259	2358
627	20297	2327
628	20331	2294
629	20365	2262
630	20400	2230
631	20429	2198
632	20455	2165
633	20480	2132
634	20511	2099
635	20545	2067
636	20578	2035
637	20605	2002
638	20633	1969
639	20666	1937
640	20704	1905
641	20730	1872
642	20753	1839
643	20783	1807
644	20810	1774
645	20838	1741
646	20867	1709
647	20893	1676
648	20919	1643
649	20947	1611
650	20976	1578
651	21010	1546
652	21029	1513
653	21067	1481
654	21098	1449
655	21139	1417
656	21201	1387
657	21267	1357
658	21297	1325
659	21321	1292
660	21361	1260
661	21405	1228
662	21436	1196
663	21465	1163
664	21504	1131
665	21536	1099
666	21569	1067
667	21610	1035
668	21644	1002
669	21682	970
670	21716	938
671	21747	906
672	21771	873
673	21786	840
674	21808	807
675	21841	775
676	21869	742
677	21896	710
678	21924	678
679	21954	645
680	21983	613
681	22017	581
682	22035	548
683	22061	516
684	22096	483
685	22119	451
686	22150	419
687	22184	386
688	22216	354
689	22237	322
690	22260	289
691	22292	257
692	22326	225
693	22355	193
694	22391	161
695	22429	128
696	22455	96
697	22483	64
698	22512	32
699	22541	0
