iter	RMSE
413	0.1488959493
414	0.1488901716
415	0.1488830945
416	0.1488717162
417	0.1488618167
418	0.1488485957
419	0.1488397598
420	0.1488098056
421	0.1487966075
422	0.1487905632
423	0.1487604226
424	0.1487452505
425	0.1487232869
426	0.148703501
427	0.1486945217
428	0.1486944263
429	0.1486742784
430	0.148667369
431	0.1486639897
432	0.1486465164
433	0.1486334236
434	0.1486243548
435	0.1486044448
436	0.1485842504
437	0.148578309
438	0.1485574949
439	0.1485414942
440	0.1485371358
441	0.1485331287
442	0.1485280554
443	0.1485091445
444	0.1485053468
445	0.1484796973
446	0.1484739929
447	0.1484604827
448	0.148451445
449	0.1484423638
450	0.1484359848
451	0.1484333192
452	0.148426768
453	0.1484267463
454	0.1484214953
455	0.1484096938
456	0.1484055443
457	0.1484010018
458	0.1483996876
459	0.148389828
460	0.1483818939
461	0.1483777309
462	0.1483713652
463	0.1483658941
464	0.148364632
465	0.1483628507
466	0.1483505595
467	0.1483389319
468	0.1483358637
469	0.1483284493
470	0.148327233
471	0.1483215696
472	0.1482972101
473	0.148237972
474	0.1482349635
475	0.1482348504
476	0.1482285273
477	0.1482218984
478	0.1482212053
479	0.1482085464
480	0.1482058613
481	0.148204164
482	0.1482004307
483	0.1481944985
484	0.1481867375
485	0.1481831284
486	0.1481784484
487	0.1481778876
488	0.1481766665
489	0.1481725881
490	0.1481654864
491	0.1481605078
492	0.1481566753
493	0.1481244417
494	0.1481088112
495	0.1480885611
496	0.1480837681
497	0.1480733292
498	0.1480598501
499	0.1480569555
500	0.1480551851
501	0.1480496364
502	0.1480411522
503	0.1480386792
504	0.1480381858
505	0.1480157196
506	0.1480145679
507	0.1480098236
508	0.1479860993
509	0.1479749488
510	0.1479746443
511	0.1479649102
512	0.1479606191
513	0.1479485953
514	0.1479469575
515	0.1479467485
516	0.147933977
517	0.1479027699
518	0.147898859
519	0.1478936169
520	0.1478858544
521	0.1478846204
522	0.147877941
523	0.147850359
524	0.14783038
525	0.1478201346
526	0.1478176839
527	0.1478165207
528	0.1478154007
529	0.1478102855
530	0.1477828673
531	0.1477795187
532	0.14777904
533	0.14775473
534	0.1477487569
535	0.1477401099
536	0.1477361648
537	0.1477349567
538	0.1477334473
539	0.147724409
540	0.1477178892
541	0.1477124146
542	0.1477124015
543	0.1477051012
544	0.1476981605
545	0.1476958644
546	0.147695851
547	0.1476875517
548	0.147684147
549	0.1476841336
550	0.1476811416
551	0.147677367
552	0.1476727887
553	0.1476727694
554	0.1476571468
555	0.1476545245
556	0.1476498456
557	0.1476441665
558	0.1476377495
559	0.1476364316
560	0.1476292104
561	0.1476246904
562	0.1476246766
563	0.1476236322
564	0.1476150662
565	0.1476119729
566	0.1475908448
567	0.1475856689
568	0.1475550565
569	0.1475514806
570	0.1475321907
571	0.1475286512
572	0.1475237721
573	0.1475148819
574	0.1475124635
575	0.1475076317
576	0.1475076185
577	0.1475032546
578	0.1474911401
579	0.1474834444
580	0.1474834218
581	0.147481199
582	0.1474603067
583	0.147454671
584	0.1474333953
585	0.1474215946
586	0.1474172156
587	0.1474113136
588	0.1474009024
589	0.1473907887
590	0.1473873881
591	0.1473837252
592	0.1473678542
593	0.1473655483
594	0.1473615702
595	0.1473608577
596	0.1473450821
597	0.1473434827
598	0.1473373643
599	0.1473373482
600	0.1473293195
601	0.1473229073
602	0.1472934733
603	0.1472822477
604	0.1472705395
605	0.1472583164
606	0.1472572989
607	0.147238047
608	0.1472380292
609	0.1472307886
610	0.1472086397
611	0.1471907366
612	0.1471874264
613	0.1471776908
614	0.1471472535
615	0.1471400881
616	0.1471391065
617	0.1471390906
618	0.1471390559
619	0.1471176079
620	0.1470988424
621	0.1470961395
622	0.1470806206
623	0.14706922
624	0.147065422
625	0.1470549568
626	0.1470305388
627	0.1470131575
628	0.1470107763
629	0.1470003728
630	0.1469908564
631	0.1469908431
632	0.1469908278
633	0.1469855825
634	0.1469781399
635	0.1469713309
636	0.1469705693
637	0.1469658334
638	0.1469365304
639	0.1469328963
640	0.1469282184
641	0.1469281558
642	0.1469223412
643	0.1469147459
644	0.1469093476
645	0.1469093285
646	0.146906772
647	0.1469023029
648	0.1468960605
649	0.1468874728
650	0.1468800928
651	0.1468673574
652	0.1468644936
653	0.1468571943
654	0.1468356616
655	0.1468267312
656	0.1467976649
657	0.1467875984
658	0.14678628
659	0.1467852087
660	0.1467786289
661	0.1467542402
662	0.1467458217
663	0.1467363448
664	0.1467174423
665	0.1467128291
666	0.1467082439
667	0.1466999333
668	0.1466882216
669	0.1466811807
670	0.1466615346
671	0.1466472706
672	0.1466429259
673	0.1466420205
674	0.146632443
675	0.1466218852
676	0.1466178152
677	0.1466155491
678	0.1466116336
679	0.1466084333
680	0.146603246
681	0.1465874361
682	0.1465865132
683	0.1465834458
684	0.1465711663
685	0.1465691875
686	0.1465666124
687	0.1465600231
688	0.1465565581
689	0.1465536159
690	0.1465507459
691	0.1465450336
692	0.146531237
693	0.1465201746
694	0.1465153639
695	0.1464946082
696	0.1464912233
697	0.1464893226
698	0.146463997
699	0.1464630115
